Subject age,Subject age Category,Partner age,Subject Hispanic origin,Subject race,Partner race,Interracial relationship,Hispanic origin of partner,Subject gender,Partner gender,Attraction,Subject education,Partner education,Region,Subject employment status,Earn more money?,Same high school?,Same college?,Grew up same city?,Living Together,Married at baseline,Quality of Relationship?
1,4,41,5,NATIVE AMERICAN,WHITE,1,1,1,0,1,1,1,3,1,3,1, ,1,1,1,1
1,6,71,1,WHITE,WHITE,0,1,1,0,1,1,1,9,1,3,1,1,1,1,1,1
1,3,41,1,WHITE,WHITE,0,1,0,1,1,1,1,9,1,1,2,2,2,1,1,1
1,4,51,1,WHITE,ASIAN,1,1,0,1,1,1,1,2,1,3,2, ,2,1,1,1
1,4,31,1,WHITE,WHITE,0,1,0,1,1,1,1,8,1,1,2,2,2, ,0, 
1,5,51,1,WHITE,WHITE,0,1,0,1,1,1,1,9,1,1,2,2,2,1,1,1
1,6,71,1,WHITE,WHITE,0,1,1,0,1,1,1,8,6,3,2,2,2, ,0, 
1,5,51,2,BLACK,BLACK,0,1,1,0,1,1,1,6,1,3,2, ,2,1,1,2
1,6,71,1,WHITE,BLACK,1,1,1,0,1,1,1,5,5,3,2, ,2,1,1,1
1,4,41,1,WHITE,WHITE,0,1,0,1,1,1,1,7,1,4,1,1,2,1,1,2
1,3,31,5,NATIVE AMERICAN,NATIVE AMERICAN,0,2,0,1,1,1,1,7,1,1,2, ,1,1,1,3
1,5,61,1,WHITE,WHITE,0,1,1,0,1,1,1,3,1,3,2, ,2,2,0,2
1,4,51,5,NATIVE AMERICAN,WHITE,1,1,1,0,1,1,1,3,1,3,1,2,1,1,1,1
1,4,61,2,BLACK,BLACK,0,1,1,0,1,1,1,5,4,3,1, ,1,1,1,2
1,5,61,3,ASIAN,ASIAN,0,1,1,0,1,1,1,9,1,3,2,2,2,1,1,2
1,7,71,1,WHITE,WHITE,0,1,0,1,1,1,1,1,1,1,2,2,1, ,0, 
1,5,41,1,WHITE,WHITE,0,1,0,1,1,1,1,3,1,1,2,2,2,1,1,2
1,5,51,1,WHITE,WHITE,0,1,1,0,1,1,1,9,2,3,2,2,2,1,1,1
1,5,61,1,WHITE,WHITE,0,1,1,0,1,1,1,8,1,3,2, ,1, ,0, 
1,5,51,1,WHITE,WHITE,0,5,1,0,1,1,1,2,1,3,2, ,1,1,1,1
1,7,71,1,WHITE,WHITE,0,1,1,0,1,1,1,8,5,3,2,2,2,1,1,1
1,4,41,1,WHITE,WHITE,0,1,1,0,1,1,1,2,1,3,2,2,2,1,1,1
1,3,41,1,WHITE,WHITE,0,1,1,0,1,1,1,5,1,3,2,2,2,1,1,2
1,6,61,1,WHITE,WHITE,0,1,1,0,1,1,1,2,5,2,2,2,1,1,1,1
1,7,71,1,WHITE,WHITE,0,1,0,1,1,1,1,5,5,1,2, ,2,2,1,1
1,4,51,1,WHITE,WHITE,0,1,1,0,1,1,1,7,7,3,2,2,2,1,1,2
1,4,51,1,WHITE,WHITE,0,1,0,1, ,1,1,2,1,1,1,2,1,1,1,1
1,6,71,1,WHITE,WHITE,0,1,1,0,1,1,1,9,5,1,2, ,1, ,0, 
1,4,41,1,WHITE,WHITE,0,1,1,0,1,1,1,5,2,2,2,2,2,2,0,2
1,5,51,1,WHITE,WHITE,0,1,1,0,1,1,1,9,2,2,2, ,2,1,1,1
1,3,41,1,WHITE,WHITE,0,1,0,1,1,1,1,8,1,1,2,1,2,1,1,3
1,3,31,1,WHITE,WHITE,0,1,1,0,1,1,1,5,7,3,2, ,2,1,1,2
1,5,61,1,WHITE,WHITE,0,1,0,1,1,1,1,5,1,1,2, ,2,1,0,2
1,1,21,3,ASIAN,LATINO,1,2,0,1,1,1,1,2,7,3,2, ,2, ,0, 
1,4,51,5,WHITE,ASIAN,1,1,0,1,1,1,1,2,1,3,2,2,2,1,1,1
1,5,51,1,WHITE,WHITE,0,1,1,0,1,1,1,4,1,1,2, ,2,1,1,1
1,4,51,1,WHITE,WHITE,0,1,1,0,3,1,1,7,1,3,2,1,2,1,1,1
1,7,51,1,WHITE,WHITE,0,1,0,1,1,1,1,7,1,3,-1,2,2,1,1,2
1,5,51,1,WHITE,WHITE,0,1,0,1,1,1,1,5,2,3,2,2,1,1,1,1
1,5,51,1,WHITE,WHITE,0,1,1,0,1,1,1,2,2,3,2, ,2,1,1,1
1,4,41,1,WHITE,WHITE,0,1,0,1,1,1,1,5,1,1,2, ,2,1,1,2
1,4,41,1,WHITE,WHITE,0,1,0,1,1,1,1,7,1,1,2,2,1,1,1,5
1,3,41,1,WHITE,ASIAN,1,1,0,1,1,1,1,9,4,2,2,2,2,1,1,1
1,3,31,1,WHITE,WHITE,0,1,0,1,1,1,1,5,1,1,2,2,2,1,1,1
1,3,41,1,WHITE,OTHER,1,1,1,0,1,1,1,9,1,1,2, ,2,1,1,2
1,4,51,1,WHITE,WHITE,0,1,0,1,1,1,1,2,6,4,2, ,2, ,0, 
1,6,71,1,WHITE,WHITE,0,1,1,0,1,1,1,5,5,3,1,2,2,1,1,1
1,5,51,4,WHITE,WHITE,0,1,1,0,1,1,1,3,5,3,2, ,1,1,1,1
1,2,21,1,WHITE,WHITE,0,1,0,1,2,1,1,9,1,3,2,2,2, ,0, 
1,6,71,1,WHITE,WHITE,0,1,1,0,1,1,1,4,1,2,2, ,2,1,1,1
1,5,61,1,WHITE,WHITE,0,1,1,0,1,1,1,7,1,1,2,2,2,1,1,1
1,4,21,3,ASIAN,OTHER,1,1,0,1,1,1,1,9,1,2,2,1,2,1,0,1
1,5,61,1,WHITE,WHITE,0,1,1,0,1,1,1,4,7,3,2, ,1,1,1,2
