Subject age,Partner age,Subject race,Partner race,Interracial relationship,Hispanic origin of partner,Subject Hispanic origin,Subject gender,Partner gender,Attraction,Subject education,Partner education,Region,Subject's employment status,Earn more money?,Same high school?,Same college?,Grew up same city?,Living Together,Married at baseline,Quality of Relationship?,Same_Age_Bracket,match
41,41,NATIVE AMERICAN,WHITE,1,1,5,1,0,1,1,1,3,1,3,1, ,1,1,1,1,1,1
11,71,WHITE,WHITE,0,1,1,1,0,1,1,1,9,1,3,1,1,1,1,1,1,0,1
21,41,WHITE,WHITE,0,1,1,0,1,1,1,1,9,1,1,2,2,2,1,1,1,0,1
21,51,WHITE,ASIAN,1,1,1,0,1,1,1,1,2,1,3,2, ,2,1,1,1,0,1
41,31,WHITE,WHITE,0,1,1,0,1,1,1,1,8,1,1,2,2,2, ,0, ,0,1
31,51,WHITE,WHITE,0,1,1,0,1,1,1,1,9,1,1,2,2,2,1,1,1,0,1
31,71,WHITE,WHITE,0,1,1,1,0,1,1,1,8,6,3,2,2,2, ,0, ,0,1
21,51,BLACK,BLACK,0,1,2,1,0,1,1,1,6,1,3,2, ,2,1,1,2,0,1
41,71,WHITE,BLACK,1,1,1,1,0,1,1,1,5,5,3,2, ,2,1,1,1,0,1
11,41,WHITE,WHITE,0,1,1,0,1,1,1,1,7,1,4,1,1,2,1,1,2,0,1
21,31,NATIVE AMERICAN,NATIVE AMERICAN,0,2,5,0,1,1,1,1,7,1,1,2, ,1,1,1,3,0,1
51,61,WHITE,WHITE,0,1,1,1,0,1,1,1,3,1,3,2, ,2,2,0,2,0,1
11,51,NATIVE AMERICAN,WHITE,1,1,5,1,0,1,1,1,3,1,3,1,2,1,1,1,1,0,1
21,61,BLACK,BLACK,0,1,2,1,0,1,1,1,5,4,3,1, ,1,1,1,2,0,1
31,61,ASIAN,ASIAN,0,1,3,1,0,1,1,1,9,1,3,2,2,2,1,1,2,0,1
21,71,WHITE,WHITE,0,1,1,0,1,1,1,1,1,1,1,2,2,1, ,0, ,0,1
31,41,WHITE,WHITE,0,1,1,0,1,1,1,1,3,1,1,2,2,2,1,1,2,0,1
21,51,WHITE,WHITE,0,1,1,1,0,1,1,1,9,2,3,2,2,2,1,1,1,0,1
21,61,WHITE,WHITE,0,1,1,1,0,1,1,1,8,1,3,2, ,1, ,0, ,0,1
21,51,WHITE,WHITE,0,5,1,1,0,1,1,1,2,1,3,2, ,1,1,1,1,0,1
11,71,WHITE,WHITE,0,1,1,1,0,1,1,1,8,5,3,2,2,2,1,1,1,0,1
21,41,WHITE,WHITE,0,1,1,1,0,1,1,1,2,1,3,2,2,2,1,1,1,0,1
11,41,WHITE,WHITE,0,1,1,1,0,1,1,1,5,1,3,2,2,2,1,1,2,0,1
